Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,3,2013-02-27,6214,454,1,0,0,0
1,4,2013-02-28,6333,722,1,0,0,0
1,5,2013-03-01,8324,644,1,0,0,0
1,6,2013-03-02,6041,733,1,0,0,0
1,1,2013-03-04,4708,456,1,0,0,0
1,2,2013-03-05,8080,800,1,0,0,0
1,3,2013-03-06,4996,515,1,0,a,0
1,4,2013-03-07,6739,658,1,1,0,0
1,5,2013-03-08,6412,487,1,0,0,0
1,6,2013-03-09,8271,833,1,0,0,0
1,1,2013-03-11,6123,455,1,0,0,1
1,2,2013-03-12,6815,577,1,1,0,0
1,3,2013-03-13,6554,544,1,0,0,0
1,4,2013-03-14,6026,722,1,0,0,0
1,5,2013-03-15,5265,521,1,0,0,0
1,6,2013-03-16,6391,751,1,1,0,0
1,1,2013-03-18,6367,520,1,0,0,0
1,2,2013-03-19,4952,384,1,1,0,0
1,3,2013-03-20,4420,430,1,0,0,0
1,4,2013-03-21,7809,900,1,1,0,0
1,5,2013-03-22,5183,594,1,0,b,1
1,6,2013-03-23,8167,796,1,1,0,0
1,1,2013-03-25,6941,503,1,1,0,0
1,2,2013-03-26,6782,485,1,1,0,1
1,3,2013-03-27,7804,700,1,1,0,0
1,4,2013-03-28,7345,547,1,0,0,0
1,5,2013-03-29,9331,699,1,1,0,0
1,6,2013-03-30,6507,642,1,0,0,0
1,1,2013-04-01,4762,342,1,0,0,0
1,2,2013-04-02,6810,758,1,0,0,0
1,3,2013-04-03,7181,581,1,0,0,0
1,4,2013-04-04,6154,478,1,0,0,0
1,5,2013-04-05,6154,598,1,0,0,0
1,6,2013-04-06,3863,400,1,0,0,0
1,1,2013-04-08,5910,422,1,1,0,0
1,2,2013-04-09,5827,664,1,0,0,0
1,3,2013-04-10,4354,361,1,0,0,0
1,4,2013-04-11,6509,515,1,0,0,1
1,5,2013-04-12,8873,780,1,0,0,0
1,6,2013-04-13,8770,945,1,0,0,1
1,1,2013-04-15,6944,587,1,1,b,0
1,2,2013-04-16,3920,291,1,0,0,0
1,3,2013-04-17,9264,724,1,1,0,0
1,4,2013-04-18,4527,489,1,0,0,0
1,5,2013-04-19,7891,733,1,0,0,0
1,6,2013-04-20,7613,727,1,0,0,0
1,1,2013-04-22,5264,453,1,0,0,0
1,2,2013-04-23,6622,586,1,1,0,0
1,3,2013-04-24,6029,687,1,0,0,0
1,4,2013-04-25,8442,762,1,0,0,1
1,5,2013-04-26,7004,530,1,1,0,1
1,6,2013-04-27,8861,940,1,1,0,0
1,1,2013-04-29,6377,761,1,0,0,0
1,2,2013-04-30,7503,916,1,1,0,0
1,3,2013-05-01,6973,808,1,0,0,0
1,4,2013-05-02,4579,455,1,0,0,0
1,5,2013-05-03,6867,631,1,0,0,0
1,6,2013-05-04,8942,870,1,0,0,0
1,1,2013-05-06,8730,922,1,0,0,0
1,2,2013-05-07,6071,463,1,0,0,0
1,3,2013-05-08,4124,315,1,1,0,1
1,4,2013-05-09,5802,419,1,1,a,0
1,5,2013-05-10,5539,613,1,0,0,0
1,6,2013-05-11,4940,391,1,0,0,0
1,1,2013-05-13,7907,715,1,1,0,0
1,2,2013-05-14,7873,882,1,1,0,0
1,3,2013-05-15,4375,436,1,0,0,1
1,4,2013-05-16,8424,884,1,1,0,0
1,5,2013-05-17,5933,547,1,0,0,0
1,6,2013-05-18,7533,552,1,0,0,0
1,1,2013-05-20,6420,560,1,1,0,0
1,2,2013-05-21,5752,640,1,0,0,0
1,3,2013-05-22,5756,566,1,0,0,0
1,4,2013-05-23,4032,374,1,0,0,0
1,5,2013-05-24,5419,576,1,0,0,0
1,6,2013-05-25,7361,845,1,0,0,0
1,1,2013-05-27,7323,828,1,0,0,0
1,2,2013-05-28,6511,730,1,0,0,0
1,3,2013-05-29,6521,795,1,0,0,0
1,4,2013-05-30,7557,872,1,0,0,0
1,5,2013-05-31,6012,470,1,0,0,0
1,6,2013-06-01,9053,744,1,1,0,0
1,1,2013-06-03,7918,871,1,0,0,0
1,2,2013-06-04,6975,781,1,0,0,0
1,3,2013-06-05,6116,754,1,0,0,0
1,4,2013-06-06,6848,559,1,0,0,0
1,5,2013-06-07,7634,723,1,1,0,0
1,6,2013-06-08,5744,412,1,0,0,0
1,1,2013-06-10,6221,470,1,0,0,0
1,2,2013-06-11,6063,473,1,0,0,0
1,3,2013-06-12,6387,569,1,1,0,0
1,4,2013-06-13,5921,633,1,0,0,0
1,5,2013-06-14,8520,775,1,0,0,0
1,6,2013-06-15,9315,1153,1,0,0,0
1,1,2013-06-17,7655,860,1,0,0,0
1,2,2013-06-18,9130,1086,1,0,0,0
1,3,2013-06-19,6243,676,1,0,0,0
1,4,2013-06-20,4217,343,1,1,b,0
1,5,2013-06-21,7379,671,1,0,0,0
1,6,2013-06-22,7127,739,1,0,0,0
1,1,2013-06-24,6154,443,1,0,0,0
1,2,2013-06-25,4418,481,1,0,0,0
1,3,2013-06-26,6557,574,1,0,0,0
1,4,2013-06-27,7720,560,1,0,0,0
1,5,2013-06-28,7048,708,1,0,0,0
1,6,2013-06-29,8293,678,1,1,0,0
1,1,2013-07-01,7131,550,1,0,0,0
1,2,2013-07-02,4558,346,1,0,a,0
1,3,2013-07-03,8213,945,1,1,0,0
1,4,2013-07-04,6035,544,1,0,0,0
1,5,2013-07-05,4813,517,1,0,0,0
1,6,2013-07-06,7133,589,1,0,0,1
1,1,2013-07-08,6857,624,1,0,0,0
1,2,2013-07-09,6086,688,1,1,0,0
1,3,2013-07-10,7082,745,1,1,0,0
1,4,2013-07-11,5750,455,1,0,0,0
1,5,2013-07-12,7653,840,1,0,0,0
1,6,2013-07-13,7276,539,1,1,0,1
1,1,2013-07-15,7506,723,1,0,0,0
1,2,2013-07-16,6369,709,1,0,0,0
1,3,2013-07-17,4132,462,1,0,0,0
1,4,2013-07-18,4956,405,1,0,0,0
1,5,2013-07-19,4313,509,1,0,0,1
1,6,2013-07-20,7163,557,1,1,0,1
1,1,2013-07-22,5435,488,1,0,0,0
1,2,2013-07-23,8336,675,1,1,0,0
1,3,2013-07-24,6727,566,1,0,0,0
1,4,2013-07-25,6219,444,1,0,0,0
1,5,2013-07-26,5737,657,1,0,0,0
1,6,2013-07-27,8424,675,1,0,0,1
1,1,2013-07-29,6459,544,1,1,0,0
1,2,2013-07-30,7154,639,1,0,0,0
1,3,2013-07-31,5931,462,1,0,0,0
1,4,2013-08-01,3265,246,1,0,0,0
1,5,2013-08-02,7335,916,1,0,0,0
1,6,2013-08-03,7712,671,1,1,0,0
1,1,2013-08-05,6349,633,1,1,0,1
1,2,2013-08-06,4106,313,1,0,0,1
1,3,2013-08-07,5783,429,1,0,0,0
1,4,2013-08-08,6170,535,1,1,0,0
1,5,2013-08-09,7420,552,1,0,0,0
1,6,2013-08-10,8333,888,1,0,0,1
1,1,2013-08-12,5923,574,1,0,0,1
1,2,2013-08-13,7557,812,1,1,0,0
1,3,2013-08-14,7427,776,1,0,0,0
1,4,2013-08-15,6139,523,1,0,0,0
1,5,2013-08-16,6449,600,1,0,b,0
1,6,2013-08-17,6830,502,1,0,0,0
1,1,2013-08-19,6086,757,1,0,0,0
1,2,2013-08-20,5905,698,1,0,b,1
1,3,2013-08-21,4946,428,1,0,0,0
1,4,2013-08-22,4396,331,1,0,0,0
1,5,2013-08-23,7024,531,1,0,0,0
1,6,2013-08-24,8171,652,1,0,0,0
1,1,2013-08-26,8999,1100,1,1,0,0
1,2,2013-08-27,5409,419,1,0,0,0
1,3,2013-08-28,6658,684,1,0,0,1
1,4,2013-08-29,7082,630,1,0,0,0
1,5,2013-08-30,4908,436,1,0,0,0
1,6,2013-08-31,7135,848,1,0,0,0
1,1,2013-09-02,6975,606,1,0,0,1
1,2,2013-09-03,6791,833,1,0,0,1
1,3,2013-09-04,6395,506,1,1,0,0
1,4,2013-09-05,5009,392,1,0,0,0
1,5,2013-09-06,6475,535,1,0,0,1
1,6,2013-09-07,6849,501,1,0,0,0
1,1,2013-09-09,5156,534,1,0,0,0
1,2,2013-09-10,5555,678,1,0,0,0
1,3,2013-09-11,5547,511,1,0,0,0
1,4,2013-09-12,7253,554,1,0,0,0
1,5,2013-09-13,7558,922,1,0,0,1
1,6,2013-09-14,5811,664,1,0,0,0
1,1,2013-09-16,6439,588,1,0,0,0
1,2,2013-09-17,6319,588,1,1,0,0
1,3,2013-09-18,8329,765,1,1,0,0
1,4,2013-09-19,6865,833,1,0,0,0
1,5,2013-09-20,7265,521,1,0,0,0
1,6,2013-09-21,8745,1085,1,1,0,0
1,1,2013-09-23,8581,849,1,0,0,1
1,2,2013-09-24,7385,608,1,1,0,0
1,3,2013-09-25,5100,591,1,0,0,0
1,4,2013-09-26,8532,645,1,0,0,1
1,5,2013-09-27,7119,552,1,0,0,0
1,6,2013-09-28,7706,649,1,1,0,0
1,1,2013-09-30,8038,961,1,0,0,1
1,2,2013-10-01,5928,465,1,1,0,0
1,3,2013-10-02,5822,472,1,0,0,0
1,4,2013-10-03,5860,485,1,1,0,0
1,5,2013-10-04,7157,791,1,1,a,0
1,6,2013-10-05,9094,721,1,0,0,0
1,1,2013-10-07,7534,653,1,0,0,0
1,2,2013-10-08,9006,754,1,1,0,0
1,3,2013-10-09,6944,673,1,0,0,0
1,4,2013-10-10,6002,516,1,0,0,0
1,5,2013-10-11,8531,814,1,0,0,0
1,6,2013-10-12,10517,916,1,1,0,1
1,1,2013-10-14,4666,472,1,0,0,0
1,2,2013-10-15,8509,819,1,0,0,1
1,3,2013-10-16,9202,863,1,1,0,0
1,4,2013-10-17,6372,552,1,0,0,0
1,5,2013-10-18,5418,527,1,0,0,0
1,6,2013-10-19,8207,768,1,0,0,0
1,1,2013-10-21,7788,949,1,0,0,0
1,2,2013-10-22,6675,714,1,0,0,0
1,3,2013-10-23,6588,572,1,1,0,1
1,4,2013-10-24,4740,425,1,0,0,0
1,5,2013-10-25,7443,846,1,0,0,1
1,6,2013-10-26,7575,611,1,1,0,0
1,1,2013-10-28,6854,719,1,1,0,0
1,2,2013-10-29,6715,532,1,0,0,0
1,3,2013-10-30,7424,639,1,1,0,0
1,4,2013-10-31,4378,488,1,0,0,0
1,5,2013-11-01,8383,600,1,0,0,0
1,6,2013-11-02,8060,640,1,0,0,0
1,1,2013-11-04,5977,450,1,0,0,0
1,2,2013-11-05,8028,805,1,0,0,0
1,3,2013-11-06,5133,499,1,0,0,0
1,4,2013-11-07,6517,565,1,0,0,0
1,5,2013-11-08,7976,724,1,1,0,0
1,6,2013-11-09,5400,497,1,0,0,0
1,1,2013-11-11,7176,583,1,0,0,0
1,2,2013-11-12,6984,679,1,0,0,0
1,3,2013-11-13,8085,898,1,1,0,0
1,4,2013-11-14,6965,606,1,0,0,0
1,5,2013-11-15,9138,659,1,1,0,0
1,6,2013-11-16,8097,889,1,0,0,1
1,1,2013-11-18,8351,618,1,1,0,0
1,2,2013-11-19,7411,854,1,0,0,0
1,3,2013-11-20,4466,386,1,1,0,0
1,4,2013-11-21,7811,618,1,0,0,0
1,5,2013-11-22,6839,551,1,0,0,0
1,6,2013-11-23,6863,650,1,0,0,0
1,1,2013-11-25,8403,775,1,1,0,0
1,2,2013-11-26,5965,504,1,0,0,0
1,3,2013-11-27,6692,756,1,1,0,1
1,4,2013-11-28,5124,414,1,1,0,0
1,5,2013-11-29,5174,445,1,1,0,0
1,6,2013-11-30,8758,756,1,0,0,0
1,1,2013-12-02,6181,528,1,0,0,0
1,2,2013-12-03,8210,852,1,0,0,0
1,3,2013-12-04,7000,651,1,0,0,0
1,4,2013-12-05,5820,506,1,1,0,0
1,5,2013-12-06,8270,660,1,1,0,0
1,6,2013-12-07,5765,661,1,1,0,0
1,1,2013-12-09,6257,562,1,0,a,0
1,2,2013-12-10,8121,639,1,0,0,0
1,3,2013-12-11,6490,645,1,0,a,0
1,4,2013-12-12,9898,1022,1,0,0,0
1,5,2013-12-13,8385,659,1,0,0,0
1,6,2013-12-14,4861,432,1,0,0,0
1,1,2013-12-16,8130,659,1,0,0,0
1,2,2013-12-17,8188,595,1,1,0,0
1,3,2013-12-18,7082,651,1,0,0,0
1,4,2013-12-19,8423,650,1,0,0,1
1,5,2013-12-20,8153,738,1,0,0,0
1,6,2013-12-21,10380,762,1,1,0,0
1,1,2013-12-23,6677,834,1,0,0,0
1,2,2013-12-24,10710,1170,1,1,0,0
1,3,2013-12-25,5603,478,1,1,0,0
1,4,2013-12-26,7727,635,1,1,0,0
1,5,2013-12-27,7487,796,1,0,0,0
1,6,2013-12-28,10790,846,1,1,0,0
1,1,2013-12-30,9152,820,1,0,0,0
1,2,2013-12-31,7598,596,1,0,0,0
1,3,2014-01-01,4283,365,1,0,0,0
1,4,2014-01-02,5265,548,1,0,0,0
1,5,2014-01-03,5158,579,1,0,0,0
1,6,2014-01-04,8000,684,1,1,0,0
1,1,2014-01-06,5958,677,1,0,0,0
1,2,2014-01-07,6319,663,1,1,0,0
1,3,2014-01-08,5118,496,1,0,0,0
1,4,2014-01-09,6363,736,1,0,0,0
1,5,2014-01-10,5465,664,1,0,0,1
1,6,2014-01-11,3354,311,1,0,0,0
1,1,2014-01-13,5618,442,1,0,0,0
1,2,2014-01-14,4564,411,1,0,0,0
1,3,2014-01-15,5139,370,1,0,0,0
1,4,2014-01-16,5368,540,1,0,b,0
1,5,2014-01-17,6208,568,1,1,0,1
1,6,2014-01-18,6217,725,1,0,0,0
1,1,2014-01-20,4548,506,1,0,0,0
1,2,2014-01-21,5625,403,1,1,0,0
1,3,2014-01-22,5274,552,1,0,0,0
1,4,2014-01-23,4130,496,1,0,0,0
1,5,2014-01-24,5832,518,1,0,0,0
1,6,2014-01-25,4684,465,1,0,0,0
1,1,2014-01-27,5398,462,1,0,0,0
1,2,2014-01-28,7046,664,1,1,0,1
1,3,2014-01-29,6128,492,1,1,0,0
1,4,2014-01-30,5712,578,1,0,0,0
1,5,2014-01-31,6419,529,1,0,0,0
1,6,2014-02-01,6445,495,1,0,0,0
1,1,2014-02-03,6580,545,1,1,0,0
1,2,2014-02-04,4460,432,1,0,0,0
1,3,2014-02-05,5476,620,1,0,0,0
1,4,2014-02-06,3441,269,1,0,c,1
1,5,2014-02-07,7974,672,1,1,0,0
1,6,2014-02-08,9502,787,1,1,0,0
1,1,2014-02-10,6861,624,1,0,0,0
1,2,2014-02-11,6964,546,1,1,0,0
1,3,2014-02-12,6410,642,1,0,0,1
1,4,2014-02-13,7100,507,1,0,0,0
1,5,2014-02-14,6460,546,1,0,0,0
1,6,2014-02-15,5773,505,1,0,0,0
1,1,2014-02-17,6740,673,1,0,0,0
1,2,2014-02-18,5666,446,1,1,b,0
1,3,2014-02-19,6344,618,1,1,0,0
1,4,2014-02-20,5737,486,1,0,0,0
1,5,2014-02-21,6886,543,1,1,0,0
1,6,2014-02-22,6588,486,1,1,0,0
1,1,2014-02-24,3929,410,1,0,b,0
1,2,2014-02-25,7206,673,1,1,0,0
1,3,2014-02-26,4679,570,1,0,0,0
1,4,2014-02-27,3523,349,1,1,0,1
1,5,2014-02-28,5716,503,1,0,c,0
1,6,2014-03-01,7764,559,1,0,0,0
1,1,2014-03-03,5701,500,1,1,0,0
1,2,2014-03-04,5110,573,1,0,0,0
1,3,2014-03-05,6254,550,1,1,0,0
1,4,2014-03-06,5718,466,1,0,0,0
1,5,2014-03-07,6451,591,1,0,0,0
1,6,2014-03-08,6896,658,1,1,0,0
1,1,2014-03-10,8306,749,1,0,0,1
1,2,2014-03-11,5303,555,1,0,0,1
1,3,2014-03-12,7350,661,1,1,0,0
1,4,2014-03-13,6326,590,1,1,0,0
1,5,2014-03-14,6857,817,1,0,0,1
1,6,2014-03-15,5524,462,1,0,0,0
1,1,2014-03-17,6094,442,1,0,0,0
1,2,2014-03-18,7135,604,1,1,0,0
1,3,2014-03-19,7378,658,1,0,0,0
1,4,2014-03-20,7780,579,1,1,0,0
1,5,2014-03-21,6491,704,1,1,0,1
1,6,2014-03-22,7232,618,1,1,0,0
1,1,2014-03-24,5401,489,1,1,0,0
1,2,2014-03-25,7216,802,1,0,0,0
1,3,2014-03-26,7447,922,1,0,0,0
1,4,2014-03-27,5164,392,1,0,0,0
1,5,2014-03-28,6953,703,1,0,0,0
1,6,2014-03-29,6588,507,1,0,0,0
1,1,2014-03-31,3640,280,1,0,0,0
1,2,2014-04-01,6091,487,1,1,0,1
1,3,2014-04-02,3880,297,1,0,0,0
1,4,2014-04-03,6655,668,1,0,0,0
1,5,2014-04-04,5562,423,1,0,0,0
1,6,2014-04-05,9664,872,1,1,0,0
1,1,2014-04-07,7446,757,1,0,0,1
1,2,2014-04-08,6979,582,1,0,0,0
1,3,2014-04-09,7669,674,1,1,0,0
1,4,2014-04-10,7162,696,1,1,0,0
1,5,2014-04-11,7768,941,1,0,0,0
1,6,2014-04-12,6374,473,1,0,0,0
1,1,2014-04-14,7149,518,1,0,0,1
1,2,2014-04-15,6908,796,1,0,0,0
1,3,2014-04-16,5688,601,1,0,0,1
1,4,2014-04-17,4965,506,1,1,0,0
1,5,2014-04-18,6284,543,1,0,b,0
1,6,2014-04-19,7830,953,1,0,0,1
1,1,2014-04-21,5562,499,1,0,0,0
1,2,2014-04-22,7246,558,1,1,0,0
1,3,2014-04-23,6820,644,1,0,0,0
1,4,2014-04-24,7231,678,1,0,0,0
1,5,2014-04-25,6752,552,1,0,0,0
1,6,2014-04-26,7388,620,1,1,0,1
1,1,2014-04-28,3574,323,1,0,0,0
1,2,2014-04-29,5686,687,1,0,0,0
1,3,2014-04-30,4126,413,1,1,0,0
1,4,2014-05-01,5343,481,1,0,0,0
1,5,2014-05-02,5543,424,1,1,b,0
1,6,2014-05-03,7208,871,1,1,0,0
1,1,2014-05-05,5462,423,1,1,0,0
1,2,2014-05-06,6232,459,1,0,0,0
1,3,2014-05-07,6248,470,1,1,0,0
1,4,2014-05-08,7574,551,1,0,0,0
1,5,2014-05-09,5454,443,1,0,0,1
1,6,2014-05-10,7165,598,1,0,b,0
1,1,2014-05-12,7971,594,1,1,0,0
1,2,2014-05-13,8327,701,1,0,0,0
1,3,2014-05-14,5045,571,1,0,0,0
1,4,2014-05-15,8842,790,1,1,0,0
1,5,2014-05-16,7528,618,1,0,0,0
1,6,2014-05-17,8076,628,1,0,0,1
1,1,2014-05-19,6949,826,1,1,0,0
1,2,2014-05-20,6397,485,1,0,0,0
1,3,2014-05-21,5338,498,1,0,0,0
1,4,2014-05-22,6056,584,1,0,0,1
1,5,2014-05-23,6531,550,1,0,0,0
1,6,2014-05-24,8233,801,1,1,0,0
1,1,2014-05-26,4460,385,1,1,0,0
1,2,2014-05-27,7407,652,1,1,0,0
1,3,2014-05-28,8448,901,1,1,0,0
1,4,2014-05-29,6237,460,1,0,0,1
1,5,2014-05-30,6433,724,1,0,0,0
1,6,2014-05-31,5277,486,1,0,0,0
1,1,2014-06-02,4700,551,1,0,0,0
1,2,2014-06-03,6219,555,1,0,0,1
1,3,2014-06-04,7414,731,1,1,0,0
1,4,2014-06-05,8609,914,1,0,0,0
1,5,2014-06-06,6653,578,1,0,0,0
1,6,2014-06-07,7783,627,1,0,0,0
1,1,2014-06-09,5615,521,1,0,0,0
1,2,2014-06-10,6828,776,1,0,0,0
1,3,2014-06-11,6479,602,1,0,0,0
1,4,2014-06-12,7264,672,1,1,0,0
1,5,2014-06-13,6817,615,1,1,0,0
1,6,2014-06-14,7710,692,1,1,0,0
1,1,2014-06-16,4160,307,1,0,0,0
1,2,2014-06-17,3769,324,1,0,0,0
1,3,2014-06-18,4273,305,1,0,0,0
1,4,2014-06-19,5854,529,1,1,a,0
1,5,2014-06-20,7736,712,1,0,0,1
1,6,2014-06-21,6473,637,1,0,0,0
1,1,2014-06-23,5509,400,1,0,0,0
1,2,2014-06-24,6315,780,1,1,0,0
1,3,2014-06-25,7130,805,1,0,0,0
1,4,2014-06-26,6965,596,1,0,0,0
1,5,2014-06-27,7932,759,1,1,0,1
1,6,2014-06-28,7123,520,1,0,0,0
1,1,2014-06-30,6956,709,1,1,0,0
1,2,2014-07-01,6552,776,1,1,0,0
1,3,2014-07-02,6073,626,1,0,0,0
1,4,2014-07-03,5800,534,1,0,0,0
1,5,2014-07-04,7919,681,1,1,0,0
1,6,2014-07-05,6780,633,1,0,0,1
1,1,2014-07-07,7280,601,1,0,0,1
1,2,2014-07-08,7059,634,1,1,0,0
1,3,2014-07-09,8355,760,1,1,0,0
1,4,2014-07-10,6067,628,1,1,0,0
1,5,2014-07-11,6365,793,1,0,0,0
1,6,2014-07-12,7210,749,1,1,0,0
1,1,2014-07-14,5303,397,1,0,0,0
1,2,2014-07-15,5974,578,1,0,0,0
1,3,2014-07-16,8119,901,1,0,0,1
1,4,2014-07-17,4946,572,1,0,0,0
1,5,2014-07-18,7557,743,1,0,0,1
1,6,2014-07-19,5014,490,1,0,0,0
1,1,2014-07-21,5933,565,1,0,0,0
1,2,2014-07-22,5642,424,1,0,0,0
1,3,2014-07-23,9241,945,1,1,0,0
1,4,2014-07-24,8161,786,1,1,0,0
1,5,2014-07-25,4783,491,1,0,0,0
1,6,2014-07-26,4645,356,1,0,0,1
1,1,2014-07-28,7054,869,1,1,0,0
1,2,2014-07-29,7720,667,1,1,0,0
1,3,2014-07-30,3795,341,1,1,0,0
1,4,2014-07-31,6238,450,1,0,0,0
1,5,2014-08-01,7892,773,1,1,c,0
1,6,2014-08-02,9480,1015,1,1,0,0
1,1,2014-08-04,5365,447,1,0,0,0
1,2,2014-08-05,7578,651,1,0,0,0
1,3,2014-08-06,7068,527,1,1,0,0
1,4,2014-08-07,5443,452,1,0,0,0
1,5,2014-08-08,6434,575,1,0,0,0
1,6,2014-08-09,6081,492,1,0,0,0
1,1,2014-08-11,7012,708,1,0,0,0
1,2,2014-08-12,8314,607,1,1,0,0
1,3,2014-08-13,6683,799,1,0,0,0
1,4,2014-08-14,4473,541,1,0,0,0
1,5,2014-08-15,6465,638,1,0,0,0
1,6,2014-08-16,5288,491,1,0,0,0
1,1,2014-08-18,6516,486,1,0,0,0
1,2,2014-08-19,3534,295,1,0,0,0
1,3,2014-08-20,7584,726,1,1,0,0
1,4,2014-08-21,7161,790,1,0,0,0
1,5,2014-08-22,6083,476,1,1,b,0
1,6,2014-08-23,7446,593,1,0,0,0
1,1,2014-08-25,7079,746,1,1,0,0
1,2,2014-08-26,7825,711,1,0,0,0
1,3,2014-08-27,6192,547,1,1,a,0
1,4,2014-08-28,5749,670,1,0,b,0
1,5,2014-08-29,6220,777,1,0,c,0
1,6,2014-08-30,6907,623,1,0,0,0
1,1,2014-09-01,7217,880,1,0,0,1
1,2,2014-09-02,8733,832,1,1,0,0
1,3,2014-09-03,4131,298,1,0,0,0
1,4,2014-09-04,7778,831,1,1,0,0
1,5,2014-09-05,5647,534,1,0,0,0
1,6,2014-09-06,8263,631,1,0,0,1
1,1,2014-09-08,6319,473,1,0,0,0
1,2,2014-09-09,7225,881,1,0,0,0
1,3,2014-09-10,4462,336,1,0,0,0
1,4,2014-09-11,5678,438,1,0,0,0
1,5,2014-09-12,8149,836,1,0,0,1
1,6,2014-09-13,10245,1224,1,0,0,0
1,1,2014-09-15,7501,813,1,0,0,0
1,2,2014-09-16,8556,722,1,1,0,0
1,3,2014-09-17,5276,394,1,0,0,0
1,4,2014-09-18,6018,429,1,0,0,0
1,5,2014-09-19,5696,506,1,0,0,0
1,6,2014-09-20,8182,851,1,1,0,0
1,1,2014-09-22,4452,325,1,0,0,0
1,2,2014-09-23,7188,795,1,0,0,0
1,3,2014-09-24,7396,814,1,0,0,0
1,4,2014-09-25,6940,835,1,1,0,1
1,5,2014-09-26,7400,827,1,1,0,0
1,6,2014-09-27,10341,1047,1,1,0,0
1,1,2014-09-29,3991,296,1,0,0,0
1,2,2014-09-30,7759,594,1,1,0,1
1,3,2014-10-01,8826,721,1,1,0,0
1,4,2014-10-02,6351,729,1,0,0,0
1,5,2014-10-03,4431,473,1,0,0,0
1,6,2014-10-04,5329,413,1,0,0,0
1,1,2014-10-06,7841,576,1,0,0,0
1,2,2014-10-07,5725,627,1,0,0,0
1,3,2014-10-08,6563,626,1,1,0,0
1,4,2014-10-09,4873,480,1,0,0,0
1,5,2014-10-10,8466,1003,1,1,0,0
1,6,2014-10-11,9182,1055,1,1,0,0
1,1,2014-10-13,7651,548,1,0,0,0
1,2,2014-10-14,6468,466,1,0,0,0
1,3,2014-10-15,6860,605,1,1,0,0
1,4,2014-10-16,6298,541,1,1,0,0
1,5,2014-10-17,6870,608,1,0,0,0
1,6,2014-10-18,7127,585,1,0,0,0
1,1,2014-10-20,5767,486,1,0,0,0
1,2,2014-10-21,8780,763,1,0,0,0
1,3,2014-10-22,5788,639,1,0,0,1
1,4,2014-10-23,5441,655,1,1,0,0
1,5,2014-10-24,8582,762,1,0,0,0
1,6,2014-10-25,9147,984,1,0,0,0
1,1,2014-10-27,7463,749,1,0,0,0
1,2,2014-10-28,6805,614,1,0,0,0
1,3,2014-10-29,6779,600,1,0,0,0
1,4,2014-10-30,7817,941,1,0,0,0
1,5,2014-10-31,6336,658,1,0,a,0
1,6,2014-11-01,9612,798,1,1,0,0
1,1,2014-11-03,9884,770,1,1,0,0
1,2,2014-11-04,7417,595,1,0,0,0
1,3,2014-11-05,5251,513,1,0,0,1
1,4,2014-11-06,5918,442,1,0,0,0
